,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,ritz,2014,3.35,5.59,27000,0,0,0,0
1,sx4,2013,4.75,9.54,43000,1,0,0,0
2,ciaz,2017,7.25,9.85,6900,0,0,0,0
3,wagon r,2011,2.85,4.15,5200,0,0,0,0
4,swift,2014,4.6,6.87,42450,1,0,0,0
5,vitara brezza,2018,9.25,9.83,2071,1,0,0,0
6,ciaz,2015,6.75,8.12,18796,0,0,0,0
7,s cross,2015,6.5,8.61,33429,1,0,0,0
8,ciaz,2016,8.75,8.89,20273,1,0,0,0
9,ciaz,2015,7.45,8.92,42367,1,0,0,0
10,alto 800,2017,2.85,3.6,2135,0,0,0,0
11,ciaz,2015,6.85,10.38,51000,1,0,0,0
12,ciaz,2015,7.5,9.94,15000,0,0,1,0
13,ertiga,2015,6.1,7.71,26000,0,0,0,0
14,dzire,2009,2.25,7.21,77427,0,0,0,0
15,ertiga,2016,7.75,10.79,43000,1,0,0,0
16,ertiga,2015,7.25,10.79,41678,1,0,0,0
18,wagon r,2015,3.25,5.09,35500,2,0,0,0
19,sx4,2010,2.65,7.98,41442,0,0,0,0
20,alto k10,2016,2.85,3.95,25000,0,0,0,0
21,ignis,2017,4.9,5.71,2400,0,0,0,0
22,sx4,2011,4.4,8.01,50000,0,0,1,0
23,alto k10,2014,2.5,3.46,45280,0,0,0,0
24,wagon r,2013,2.9,4.41,56879,0,0,0,0
25,swift,2011,3.0,4.99,20000,0,0,0,0
26,swift,2013,4.15,5.87,55138,0,0,0,0
27,swift,2017,6.0,6.49,16200,0,1,0,0
28,alto k10,2010,1.95,3.95,44542,0,0,0,0
29,ciaz,2015,7.45,10.38,45000,1,0,0,0
30,ritz,2012,3.1,5.98,51439,1,0,0,0
31,ritz,2011,2.35,4.89,54200,0,0,0,0
32,swift,2014,4.95,7.49,39000,1,0,0,0
33,ertiga,2014,6.0,9.95,45000,1,0,0,0
34,dzire,2014,5.5,8.06,45000,1,0,0,0
35,sx4,2011,2.95,7.74,49998,2,0,0,0
36,dzire,2015,4.65,7.2,48767,0,0,0,0
38,alto k10,2016,3.0,3.76,10079,0,0,0,0
39,sx4,2003,2.25,7.98,62000,0,0,0,0
40,baleno,2016,5.85,7.87,24524,0,0,1,0
41,alto k10,2014,2.55,3.98,46706,0,0,0,0
42,sx4,2008,1.95,7.15,58000,0,0,0,0
43,dzire,2014,5.5,8.06,45780,1,0,0,0
44,omni,2012,1.25,2.69,50000,0,0,0,0
45,ciaz,2014,7.5,12.04,15000,0,0,1,0
46,ritz,2013,2.65,4.89,64532,0,0,0,0
47,wagon r,2006,1.05,4.15,65000,0,0,0,0
48,ertiga,2015,5.8,7.71,25870,0,0,0,0
49,ciaz,2017,7.75,9.29,37000,0,0,1,0
51,fortuner,2015,23.0,30.61,40000,1,0,1,0
52,innova,2017,18.0,19.77,15000,1,0,1,0
54,innova,2005,2.75,10.21,90000,0,1,0,0
55,corolla altis,2009,3.6,15.04,70000,0,0,1,0
56,etios cross,2015,4.5,7.27,40534,0,0,0,0
57,corolla altis,2010,4.75,18.54,50000,0,0,0,0
58,etios g,2014,4.1,6.8,39485,0,0,0,1
59,fortuner,2014,19.99,35.96,41000,1,0,1,0
60,corolla altis,2013,6.95,18.61,40001,0,0,0,0
61,etios cross,2015,4.5,7.7,40588,0,0,0,0
62,fortuner,2014,18.75,35.96,78000,1,0,1,0
63,fortuner,2015,23.5,35.96,47000,1,0,1,0
64,fortuner,2017,33.0,36.23,6000,1,0,1,0
65,etios liva,2014,4.75,6.95,45000,1,0,0,0
66,innova,2017,19.75,23.15,11000,0,0,1,0
67,fortuner,2010,9.25,20.45,59000,1,0,0,0
68,corolla altis,2011,4.35,13.74,88000,0,0,0,0
69,corolla altis,2016,14.25,20.91,12000,0,0,0,0
70,etios liva,2014,3.95,6.76,71000,1,0,0,0
71,corolla altis,2011,4.5,12.48,45000,1,0,0,0
72,corolla altis,2013,7.45,18.61,56001,0,0,0,0
73,etios liva,2011,2.65,5.71,43000,0,0,0,0
74,etios cross,2014,4.9,8.93,83000,1,0,0,0
75,etios g,2015,3.95,6.8,36000,0,0,0,0
76,corolla altis,2013,5.5,14.68,72000,0,0,0,0
78,corolla altis,2010,5.25,22.83,80000,0,0,1,0
79,fortuner,2012,14.5,30.61,89000,1,0,1,0
80,corolla altis,2016,14.73,14.89,23000,1,0,0,0
81,etios gd,2015,4.75,7.85,40000,1,0,0,0
82,innova,2017,23.0,25.39,15000,1,0,1,0
83,innova,2015,12.5,13.46,38000,1,0,0,0
86,land cruiser,2010,35.0,92.6,78000,1,0,0,0
87,corolla altis,2012,5.9,13.74,56000,0,0,0,0
88,etios liva,2013,3.45,6.05,47000,0,0,0,0
89,etios g,2014,4.75,6.76,40000,0,0,0,0
90,corolla altis,2009,3.8,18.61,62000,0,0,0,0
91,innova,2014,11.25,16.09,58242,1,0,0,0
92,innova,2005,3.51,13.7,75000,0,0,0,0
94,corolla altis,2008,4.0,22.78,89000,0,0,1,0
95,corolla altis,2012,5.85,18.61,72000,0,0,0,0
96,innova,2016,20.75,25.39,29000,1,0,1,0
97,corolla altis,2017,17.0,18.64,8700,0,0,0,0
98,corolla altis,2013,7.05,18.61,45000,0,0,0,0
99,fortuner,2010,9.65,20.45,50024,1,0,0,0
100,Royal Enfield Thunder,2016,1.75,1.9,3000,0,1,0,0
101,UM Renegade Mojave,2017,1.7,1.82,1400,0,1,0,0
102,KTM RC200,2017,1.65,1.78,4000,0,1,0,0
103,Bajaj Dominar 400,2017,1.45,1.6,1200,0,1,0,0
104,Royal Enfield Classic,2017,1.35,1.47,4100,0,1,0,0
105,KTM RC390,2015,1.35,2.37,21700,0,1,0,0
106,Hyosung GT250R,2014,1.35,3.45,16500,0,1,0,1
107,Royal Enfield Thunder,2013,1.25,1.5,15000,0,1,0,0
108,Royal Enfield Thunder,2016,1.2,1.5,18000,0,1,0,0
109,Royal Enfield Classic,2017,1.2,1.47,11000,0,1,0,0
110,KTM RC200,2016,1.2,1.78,6000,0,1,0,0
111,Royal Enfield Thunder,2016,1.15,1.5,8700,0,1,0,0
112,KTM 390 Duke,2014,1.15,2.4,7000,0,1,0,0
113,Mahindra Mojo XT300,2016,1.15,1.4,35000,0,1,0,0
114,Royal Enfield Classic,2015,1.15,1.47,17000,0,1,0,0
115,Royal Enfield Classic,2015,1.11,1.47,17500,0,1,0,0
116,Royal Enfield Classic,2013,1.1,1.47,33000,0,1,0,0
117,Royal Enfield Thunder,2015,1.1,1.9,14000,0,1,0,0
118,Royal Enfield Classic,2015,1.1,1.47,26000,0,1,0,0
119,Royal Enfield Thunder,2013,1.05,1.9,5400,0,1,0,0
120,Bajaj Pulsar RS200,2016,1.05,1.26,5700,0,1,0,0
121,Royal Enfield Thunder,2011,1.05,1.5,6900,0,1,0,0
122,Royal Enfield Bullet,2016,1.05,1.17,6000,0,1,0,0
123,Royal Enfield Classic,2013,1.0,1.47,46500,0,1,0,0
124,Royal Enfield Classic,2012,0.95,1.75,11500,0,1,0,0
125,Royal Enfield Classic,2009,0.9,1.75,40000,0,1,0,0
126,Bajaj Avenger 220,2017,0.9,0.95,1300,0,1,0,0
127,Bajaj Avenger 150,2016,0.75,0.8,7000,0,1,0,0
128,Honda CB Hornet,2017,0.8,0.87,3000,0,1,0,0
129,Yamaha FZ S,2017,0.78,0.84,5000,0,1,0,0
130,Honda CB Hornet,2017,0.75,0.87,11000,0,1,0,0
131,Yamaha FZ 16,2015,0.75,0.82,18000,0,1,0,0
132,Bajaj Avenger 220,2017,0.75,0.95,3500,0,1,0,0
133,Bajaj Avenger 220,2016,0.72,0.95,500,0,1,0,0
134,TVS Apache RTR,2017,0.65,0.81,11800,0,1,0,0
135,Bajaj Pulsar 150,2015,0.65,0.74,5000,0,1,0,0
136,Honda CBR 150,2014,0.65,1.2,23500,0,1,0,0
137,Hero Extreme,2013,0.65,0.787,16000,0,1,0,0
138,Honda CB Hornet,2016,0.6,0.87,15000,0,1,0,0
139,Bajaj Avenger 220,2015,0.6,0.95,16600,0,1,0,0
140,Honda CBR 150,2013,0.6,1.2,32000,0,1,0,0
141,Bajaj Avenger 150,2016,0.6,0.8,20000,0,1,0,0
142,Yamaha FZ ,2015,0.6,0.84,29000,0,1,0,0
143,Yamaha FZ ,2016,0.6,0.84,25000,0,1,0,0
144,Bajaj Pulsar ,2014,0.6,0.99,25000,0,1,0,0
145,TVS Apache RTR,2012,0.6,0.81,19000,0,1,0,0
146,Hero Extreme,2014,0.55,0.787,15000,0,1,0,0
147,Yamaha FZ S,2015,0.55,0.84,58000,0,1,0,0
148,Bajaj Pulsar 220,2010,0.52,0.94,45000,0,1,0,0
149,Bajaj Pulsar 220,2016,0.51,0.94,24000,0,1,0,0
150,TVS Apache RTR,2011,0.5,0.826,6000,0,1,0,0
151,Hero Passion X,2016,0.5,0.55,31000,0,1,0,0
152,Bajaj Pulsar NS,2012,0.5,0.99,13000,0,1,0,0
153,Bajaj Pulsar NS,2013,0.5,0.99,45000,0,1,0,0
154,Yamaha Fazer ,2014,0.5,0.88,8000,0,1,0,0
155,Honda Activa 4G,2017,0.48,0.51,4300,0,1,1,0
156,TVS Sport ,2017,0.48,0.52,15000,0,1,0,0
157,Yamaha FZ S,2015,0.48,0.84,23000,0,1,0,0
158,Honda Dream Yuga,2017,0.48,0.54,8600,0,1,0,0
159,Honda Activa 4G,2017,0.45,0.51,4000,0,1,1,0
160,Bajaj Avenger Street,2011,0.45,0.95,24000,0,1,0,0
161,TVS Apache RTR,2014,0.45,0.826,23000,0,1,0,0
162,Bajaj Pulsar NS,2012,0.45,0.99,14500,0,1,0,0
163,Bajaj Avenger 220,2010,0.45,0.95,27000,0,1,0,0
164,Hero Splender iSmart,2016,0.45,0.54,14000,0,1,0,0
165,Activa 3g,2016,0.45,0.54,500,0,1,1,0
166,Hero Passion Pro,2016,0.45,0.55,1000,0,1,0,0
167,TVS Apache RTR,2014,0.42,0.81,42000,0,1,0,0
168,Honda CB Trigger,2013,0.42,0.73,12000,0,1,0,0
169,Hero Splender iSmart,2015,0.4,0.54,14000,0,1,0,0
170,Yamaha FZ S,2012,0.4,0.83,5500,0,1,0,0
171,Hero Passion Pro,2015,0.4,0.55,6700,0,1,0,0
172,Bajaj Pulsar 135,2014,0.4,0.64,13700,0,1,0,0
173,Activa 4g,2017,0.4,0.51,1300,0,1,1,0
174,Honda CB Unicorn,2015,0.38,0.72,38600,0,1,0,0
175,Hero Honda CBZ,2011,0.38,0.787,75000,0,1,0,0
176,Honda Karizma,2011,0.35,1.05,30000,0,1,0,0
177,Honda Activa 125,2016,0.35,0.57,24000,0,1,1,0
178,TVS Jupyter,2014,0.35,0.52,19000,0,1,1,0
180,Hero Honda Passion,2012,0.3,0.51,60000,0,1,0,0
181,Hero Splender Plus,2016,0.3,0.48,50000,0,1,0,0
182,Honda CB Shine,2013,0.3,0.58,30000,0,1,0,0
183,Bajaj Discover 100,2013,0.27,0.47,21000,0,1,0,0
184,Bajaj Pulsar 150,2008,0.25,0.75,26000,0,1,0,1
185,Suzuki Access 125,2008,0.25,0.58,1900,0,1,1,0
186,TVS Wego,2010,0.25,0.52,22000,0,1,1,0
187,Honda CB twister,2013,0.25,0.51,32000,0,1,0,0
188,Hero Glamour,2013,0.25,0.57,18000,0,1,0,0
189,Hero Super Splendor,2005,0.2,0.57,55000,0,1,0,0
190,Bajaj Pulsar 150,2008,0.2,0.75,60000,0,1,0,0
191,Bajaj Discover 125,2012,0.2,0.57,25000,0,1,0,1
192,Hero Hunk,2007,0.2,0.75,49000,0,1,0,1
193,Hero  Ignitor,2013,0.2,0.65,24000,0,1,0,1
194,Hero  CBZ,2008,0.2,0.787,50000,0,1,0,0
195,Bajaj  ct,2015,0.18,0.32,35000,0,1,0,0
197,Honda CB twister,2010,0.16,0.51,33000,0,1,0,0
198,Bajaj Discover 125,2011,0.15,0.57,35000,0,1,0,1
199,Honda CB Shine,2007,0.12,0.58,53000,0,1,0,0
200,Bajaj Pulsar 150,2006,0.1,0.75,92233,0,1,0,0
201,i20,2010,3.25,6.79,58000,1,0,0,1
202,grand i10,2015,4.4,5.7,28200,0,0,0,0
203,i10,2011,2.95,4.6,53460,0,0,0,0
204,eon,2015,2.75,4.43,28282,0,0,0,0
205,grand i10,2016,5.25,5.7,3493,0,0,0,1
206,xcent,2017,5.75,7.13,12479,0,0,0,0
207,grand i10,2015,5.15,5.7,34797,0,0,1,0
208,i20,2017,7.9,8.1,3435,0,0,0,0
209,grand i10,2015,4.85,5.7,21125,1,0,0,0
210,i10,2012,3.1,4.6,35775,0,0,0,0
211,elantra,2015,11.75,14.79,43535,1,0,0,0
212,creta,2016,11.25,13.6,22671,0,0,0,0
213,i20,2011,2.9,6.79,31604,0,0,0,0
214,grand i10,2017,5.25,5.7,20114,0,0,0,0
215,verna,2012,4.5,9.4,36100,0,0,0,0
216,eon,2016,2.9,4.43,12500,0,0,0,0
217,eon,2016,3.15,4.43,15000,0,0,0,0
218,verna,2014,6.45,9.4,45078,0,0,0,0
219,verna,2012,4.5,9.4,36000,0,0,0,0
220,eon,2017,3.5,4.43,38488,0,0,0,0
221,i20,2013,4.5,6.79,32000,0,0,1,0
222,i20,2014,6.0,7.6,77632,1,0,0,0
223,verna,2015,8.25,9.4,61381,1,0,0,0
224,verna,2013,5.11,9.4,36198,0,0,1,0
225,i10,2011,2.7,4.6,22517,0,0,0,0
226,grand i10,2015,5.25,5.7,24678,0,0,0,0
227,i10,2011,2.55,4.43,57000,0,0,0,0
228,verna,2012,4.95,9.4,60000,1,0,0,0
229,i20,2012,3.1,6.79,52132,1,0,0,0
230,verna,2013,6.15,9.4,45000,1,0,0,0
231,verna,2017,9.25,9.4,15001,0,0,0,0
232,elantra,2015,11.45,14.79,12900,0,0,1,0
233,grand i10,2013,3.9,5.7,53000,1,0,0,0
234,grand i10,2015,5.5,5.7,4492,0,0,0,0
235,verna,2017,9.1,9.4,15141,0,0,0,0
236,eon,2016,3.1,4.43,11849,0,0,0,0
237,creta,2015,11.25,13.6,68000,1,0,0,0
238,verna,2013,4.8,9.4,60241,0,0,0,0
239,eon,2012,2.0,4.43,23709,0,0,0,0
240,verna,2012,5.35,9.4,32322,1,0,0,0
241,xcent,2015,4.75,7.13,35866,0,0,0,1
242,xcent,2014,4.4,7.13,34000,0,0,0,0
243,i20,2016,6.25,7.6,7000,0,0,0,0
244,verna,2013,5.95,9.4,49000,1,0,0,0
245,verna,2012,5.2,9.4,71000,1,0,0,0
246,i20,2012,3.75,6.79,35000,0,0,0,0
247,verna,2015,5.95,9.4,36000,0,0,0,0
248,i10,2013,4.0,4.6,30000,0,0,0,0
249,i20,2016,5.25,7.6,17000,0,0,0,0
250,creta,2016,12.9,13.6,35934,1,0,0,0
251,city,2013,5.0,9.9,56701,0,0,0,0
252,brio,2015,5.4,6.82,31427,0,0,1,0
253,city,2014,7.2,9.9,48000,1,0,0,0
254,city,2013,5.25,9.9,54242,0,0,0,0
255,brio,2012,3.0,5.35,53675,0,0,0,0
256,city,2016,10.25,13.6,49562,0,0,0,0
257,city,2015,8.5,13.6,40324,0,0,0,0
258,city,2015,8.4,13.6,25000,0,0,0,0
259,amaze,2014,3.9,7.0,36054,0,0,0,0
260,city,2016,9.15,13.6,29223,0,0,0,0
261,brio,2016,5.5,5.97,5600,0,0,0,0
262,amaze,2015,4.0,5.8,40023,0,0,0,0
263,jazz,2016,6.6,7.7,16002,0,0,0,0
264,amaze,2015,4.0,7.0,40026,0,0,0,0
265,jazz,2017,6.5,8.7,21200,0,0,0,0
266,amaze,2014,3.65,7.0,35000,0,0,0,0
267,city,2016,8.35,9.4,19434,1,0,0,0
268,brio,2017,4.8,5.8,19000,0,0,0,0
269,city,2015,6.7,10.0,18828,0,0,0,0
270,city,2011,4.1,10.0,69341,0,0,0,0
271,city,2009,3.0,10.0,69562,0,0,0,0
272,city,2015,7.5,10.0,27600,0,0,0,0
273,jazz,2010,2.25,7.5,61203,0,0,0,0
274,brio,2014,5.3,6.8,16500,0,0,0,0
275,city,2016,10.9,13.6,30753,0,0,1,0
276,city,2015,8.65,13.6,24800,0,0,0,0
277,city,2015,9.7,13.6,21780,0,0,0,0
278,jazz,2016,6.0,8.4,4000,0,0,0,0
279,city,2014,6.25,13.6,40126,0,0,0,0
280,brio,2015,5.25,5.9,14465,0,0,0,0
281,city,2006,2.1,7.6,50456,0,0,0,0
282,city,2014,8.25,14.0,63000,1,0,0,0
283,city,2016,8.99,11.8,9010,0,0,0,0
284,brio,2013,3.5,5.9,9800,0,0,0,0
285,jazz,2016,7.4,8.5,15059,0,0,1,0
286,jazz,2016,5.65,7.9,28569,0,0,0,0
287,amaze,2015,5.75,7.5,44000,0,0,1,0
288,city,2015,8.4,13.6,34000,0,0,0,0
289,city,2016,10.11,13.6,10980,0,0,0,0
290,amaze,2014,4.5,6.4,19000,0,0,0,0
291,brio,2015,5.4,6.1,31427,0,0,0,0
292,jazz,2016,6.4,8.4,12000,0,0,0,0
293,city,2010,3.25,9.9,38000,0,0,0,0
294,amaze,2014,3.75,6.8,33019,0,0,0,0
295,city,2015,8.55,13.09,60076,1,0,0,0
296,city,2016,9.5,11.6,33988,1,0,0,0
297,brio,2015,4.0,5.9,60000,0,0,0,0
298,city,2009,3.35,11.0,87934,0,0,0,0
299,city,2017,11.5,12.5,9000,1,0,0,0
300,brio,2016,5.3,5.9,5464,0,0,0,0
